Order Type,Order Number,Datetime
short,3000,14.02.2023 15:11:17
long,3000,14.02.2023 15:35:13
long,3000,14.02.2023 15:40:14
short,3000,14.02.2023 15:49:50
short,3000,14.02.2023 16:01:14
short,3000,14.02.2023 17:10:24
short,3000,14.02.2023 18:02:19
short,3000,14.02.2023 19:29:12
long,3000,14.02.2023 21:08:30
long,3000,15.02.2023 00:35:26
long,3000,15.02.2023 02:49:33
short,3000,15.02.2023 10:38:38
short,3000,15.02.2023 10:50:18
short,3000,15.02.2023 10:54:34
short,3000,15.02.2023 11:04:35
short,3000,15.02.2023 11:39:45
short,3000,15.02.2023 12:04:02
short,3000,15.02.2023 12:10:39
long,3000,15.02.2023 12:18:48
short,3000,15.02.2023 12:23:19
long,3000,15.02.2023 13:18:48
long,3000,15.02.2023 14:17:18
short,3000,15.02.2023 15:54:16
short,3000,15.02.2023 16:11:31
long,3000,15.02.2023 16:18:48
short,3000,15.02.2023 18:39:18
short,3000,15.02.2023 18:43:38
short,3000,15.02.2023 19:09:52
short,3000,15.02.2023 19:14:22
long,3000,15.02.2023 19:18:48
short,3000,15.02.2023 19:29:53
short,3000,15.02.2023 20:03:56
short,3000,15.02.2023 20:08:28
short,3000,15.02.2023 20:12:15
long,3000,15.02.2023 20:14:01
short,3000,15.02.2023 20:16:57
long,3000,15.02.2023 20:18:48
short,3000,15.02.2023 20:20:26
short,3000,15.02.2023 20:30:16
short,3000,15.02.2023 20:34:17
long,3000,15.02.2023 20:36:44
short,3000,15.02.2023 20:38:51
long,3000,15.02.2023 21:12:37
long,3000,15.02.2023 21:18:48
short,3000,15.02.2023 21:31:11
short,3000,15.02.2023 22:19:48
long,3000,15.02.2023 22:57:18
short,3000,15.02.2023 23:17:03
short,3000,16.02.2023 00:11:33
short,3000,16.02.2023 00:16:42
long,3000,16.02.2023 00:18:48
short,3000,16.02.2023 00:22:05
long,3000,16.02.2023 00:23:50
long,3000,16.02.2023 00:35:43
long,3000,16.02.2023 00:46:30
long,3000,16.02.2023 01:18:48
short,3000,16.02.2023 03:12:57
long,3000,16.02.2023 06:59:52
long,3000,16.02.2023 07:05:45
long,3000,16.02.2023 07:18:48
short,3000,16.02.2023 08:33:30
long,3000,16.02.2023 12:10:46
long,3000,16.02.2023 13:38:28
long,3000,16.02.2023 13:48:27
long,3000,16.02.2023 14:35:24
short,3000,16.02.2023 15:12:17
long,3000,16.02.2023 15:18:48
short,3000,16.02.2023 15:20:24
short,3000,16.02.2023 15:43:14
short,3000,16.02.2023 15:47:28
short,3000,16.02.2023 15:53:24
short,3000,16.02.2023 15:59:22
short,3000,16.02.2023 16:04:51
long,3000,16.02.2023 16:07:38
long,3000,16.02.2023 16:18:48
short,3000,16.02.2023 16:19:55
short,3000,16.02.2023 16:32:50
long,3000,16.02.2023 16:43:00
long,3000,16.02.2023 20:04:11
long,3000,16.02.2023 20:17:33
long,3000,16.02.2023 20:25:10
long,3000,16.02.2023 20:28:28
long,3000,16.02.2023 21:07:04
long,3000,16.02.2023 21:18:48
long,3000,16.02.2023 21:31:55
long,3000,16.02.2023 21:52:19
long,3000,16.02.2023 22:18:48
long,3000,16.02.2023 22:31:09
long,3000,16.02.2023 22:34:34
long,3000,16.02.2023 22:39:57
long,3000,16.02.2023 23:18:42
short,3000,16.02.2023 23:18:48
long,3000,16.02.2023 23:23:04
long,3000,16.02.2023 23:34:50
long,3000,16.02.2023 23:41:51
long,3000,16.02.2023 23:47:42
long,3000,16.02.2023 23:51:33
long,3000,17.02.2023 00:00:56
short,3000,17.02.2023 00:05:28
long,3000,17.02.2023 00:15:10
short,3000,17.02.2023 00:18:48
short,3000,17.02.2023 00:32:32
long,3000,17.02.2023 06:39:46
long,3000,17.02.2023 07:50:42
long,3000,17.02.2023 07:58:22
long,3000,17.02.2023 08:31:35
short,3000,17.02.2023 08:55:37
short,3000,17.02.2023 08:59:25
long,3000,17.02.2023 09:18:47
long,3000,17.02.2023 10:08:12
short,3000,17.02.2023 11:25:48
short,3000,17.02.2023 12:40:27
short,3000,17.02.2023 12:43:45
short,3000,17.02.2023 14:21:36
short,3000,17.02.2023 14:33:26
short,3000,17.02.2023 14:36:47
long,3000,17.02.2023 14:46:31
long,3000,17.02.2023 14:50:24
long,3000,17.02.2023 14:55:18
short,3000,17.02.2023 15:03:06
long,3000,17.02.2023 15:18:48
long,3000,17.02.2023 15:26:42
short,3000,17.02.2023 15:40:38
long,3000,17.02.2023 15:47:37
short,3000,17.02.2023 16:12:13
long,3000,17.02.2023 16:20:09
long,3000,17.02.2023 16:34:29
short,3000,17.02.2023 17:09:12
short,3000,17.02.2023 17:15:25
long,3000,17.02.2023 17:18:48
short,3000,17.02.2023 17:32:40
long,3000,17.02.2023 17:48:30
long,3000,17.02.2023 17:52:28
long,3000,17.02.2023 18:18:48
long,3000,17.02.2023 18:33:40
short,3000,17.02.2023 19:32:37
short,3000,17.02.2023 19:35:59
short,3000,17.02.2023 19:48:02
